id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,6,Pedido incompleto,Media,2026-02-10,En revisión
2,I00002,9,Producto frío,Alta,2026-06-01,En revisión
3,I00003,13,Demora en entrega,Alta,2026-03-27,Abierta
4,I00004,21,Ingrediente faltante,Baja,2026-05-25,Abierta
5,I00005,23,Cobro duplicado,Baja,2026-05-27,Abierta
6,I00006,25,Pedido incompleto,Media,2026-05-03,Cerrada
7,I00007,37,Producto frío,Media,2026-02-11,Cerrada
8,I00008,47,Demora en entrega,Media,2026-03-12,Cerrada
9,I00009,52,Ingrediente faltante,Media,2026-06-20,En revisión
10,I00010,56,Cobro duplicado,Baja,2026-02-14,Cerrada
11,I00011,61,Pedido incompleto,Media,2026-02-17,En revisión
12,I00012,68,Producto frío,Alta,2026-02-13,En revisión
13,I00013,77,Demora en entrega,Media,2026-04-10,En revisión
14,I00014,79,Ingrediente faltante,Media,2026-06-13,Abierta
15,I00015,86,Cobro duplicado,Media,2026-06-25,En revisión
16,I00016,87,Pedido incompleto,Media,2026-03-08,En revisión
17,I00017,88,Producto frío,Alta,2026-02-15,Abierta
18,I00018,95,Demora en entrega,Alta,2026-02-03,En revisión
19,I00019,101,Ingrediente faltante,Baja,2026-06-25,Abierta
20,I00020,112,Cobro duplicado,Baja,2026-04-26,Abierta
21,I00021,116,Pedido incompleto,Media,2026-05-15,Cerrada
22,I00022,119,Producto frío,Baja,2026-04-01,En revisión
23,I00023,133,Demora en entrega,Baja,2026-04-19,Abierta
24,I00024,134,Ingrediente faltante,Baja,2026-02-19,Abierta
25,I00025,139,Cobro duplicado,Media,2026-02-04,Cerrada
26,I00026,146,Pedido incompleto,Alta,2026-02-07,Abierta
27,I00027,147,Producto frío,Alta,2026-05-01,Cerrada
28,I00028,155,Demora en entrega,Alta,2026-02-07,En revisión
29,I00029,157,Ingrediente faltante,Alta,2026-03-25,En revisión
30,I00030,163,Cobro duplicado,Baja,2026-04-17,Cerrada
31,I00031,189,Pedido incompleto,Media,2026-06-16,En revisión
32,I00032,194,Producto frío,Alta,2026-03-12,Abierta
33,I00033,196,Demora en entrega,Alta,2026-05-05,Abierta
34,I00034,205,Ingrediente faltante,Media,2026-03-18,Abierta
35,I00035,206,Cobro duplicado,Media,2026-03-03,En revisión
36,I00036,214,Pedido incompleto,Alta,2026-03-13,En revisión
37,I00037,217,Producto frío,Baja,2026-05-01,Cerrada
38,I00038,241,Demora en entrega,Alta,2026-06-11,En revisión
39,I00039,249,Ingrediente faltante,Baja,2026-04-07,En revisión
40,I00040,260,Cobro duplicado,Alta,2026-04-16,Cerrada
41,I00041,261,Pedido incompleto,Alta,2026-06-21,Cerrada
42,I00042,264,Producto frío,Alta,2026-02-24,En revisión
43,I00043,266,Demora en entrega,Media,2026-04-03,Abierta
44,I00044,275,Ingrediente faltante,Alta,2026-03-20,Cerrada
45,I00045,280,Cobro duplicado,Media,2026-06-14,Abierta
46,I00046,281,Pedido incompleto,Media,2026-03-24,Abierta
47,I00047,288,Producto frío,Baja,2026-04-15,Abierta
48,I00048,296,Demora en entrega,Media,2026-06-01,Abierta
49,I00049,297,Ingrediente faltante,Alta,2026-02-04,Abierta
50,I00050,308,Cobro duplicado,Baja,2026-02-17,Cerrada
51,I00051,310,Pedido incompleto,Alta,2026-06-28,Abierta
52,I00052,313,Producto frío,Alta,2026-02-01,En revisión
53,I00053,314,Demora en entrega,Baja,2026-06-02,Abierta
54,I00054,319,Ingrediente faltante,Baja,2026-04-12,En revisión
55,I00055,331,Cobro duplicado,Baja,2026-02-28,En revisión
56,I00056,338,Pedido incompleto,Media,2026-05-13,Abierta
57,I00057,345,Producto frío,Baja,2026-02-15,Cerrada
58,I00058,349,Demora en entrega,Baja,2026-04-06,Cerrada
59,I00059,356,Ingrediente faltante,Media,2026-05-10,En revisión
60,I00060,363,Cobro duplicado,Baja,2026-05-04,Abierta
61,I00061,364,Pedido incompleto,Alta,2026-06-27,Cerrada
62,I00062,366,Producto frío,Media,2026-03-23,Cerrada
63,I00063,370,Demora en entrega,Media,2026-05-05,Abierta
64,I00064,374,Ingrediente faltante,Alta,2026-05-10,En revisión
65,I00065,382,Cobro duplicado,Media,2026-03-25,Abierta
66,I00066,390,Pedido incompleto,Media,2026-04-17,En revisión
67,I00067,392,Producto frío,Media,2026-04-05,Abierta
68,I00068,393,Demora en entrega,Media,2026-04-18,Cerrada
69,I00069,403,Ingrediente faltante,Alta,2026-05-04,Cerrada
70,I00070,447,Cobro duplicado,Media,2026-03-01,Cerrada
71,I00071,450,Pedido incompleto,Baja,2026-04-19,Cerrada
72,I00072,452,Producto frío,Baja,2026-03-12,Cerrada
73,I00073,455,Demora en entrega,Media,2026-05-13,En revisión
74,I00074,459,Ingrediente faltante,Alta,2026-05-28,En revisión
75,I00075,466,Cobro duplicado,Media,2026-03-09,Cerrada
76,I00076,470,Pedido incompleto,Baja,2026-06-16,Abierta
77,I00077,473,Producto frío,Alta,2026-05-06,Abierta
78,I00078,476,Demora en entrega,Media,2026-05-08,En revisión
79,I00079,481,Ingrediente faltante,Alta,2026-06-04,Abierta
80,I00080,485,Cobro duplicado,Baja,2026-02-14,Cerrada
81,I00081,490,Pedido incompleto,Alta,2026-02-26,En revisión
82,I00082,513,Producto frío,Media,2026-04-19,Cerrada
83,I00083,514,Demora en entrega,Media,2026-06-14,Abierta
84,I00084,525,Ingrediente faltante,Media,2026-04-14,Cerrada
85,I00085,528,Cobro duplicado,Baja,2026-03-12,Cerrada
86,I00086,533,Pedido incompleto,Alta,2026-03-18,Cerrada
87,I00087,550,Producto frío,Baja,2026-06-09,Abierta
88,I00088,552,Demora en entrega,Media,2026-03-28,Abierta
89,I00089,558,Ingrediente faltante,Baja,2026-03-19,Abierta
90,I00090,559,Cobro duplicado,Baja,2026-02-09,Cerrada
91,I00091,561,Pedido incompleto,Media,2026-02-11,En revisión
92,I00092,569,Producto frío,Baja,2026-05-01,Cerrada
93,I00093,570,Demora en entrega,Alta,2026-05-10,Abierta
94,I00094,571,Ingrediente faltante,Media,2026-04-17,Cerrada
95,I00095,582,Cobro duplicado,Alta,2026-06-01,Cerrada
96,I00096,593,Pedido incompleto,Baja,2026-06-13,Cerrada
97,I00097,595,Producto frío,Alta,2026-03-10,En revisión
98,I00098,602,Demora en entrega,Alta,2026-04-06,Abierta
99,I00099,607,Ingrediente faltante,Alta,2026-05-26,Abierta
100,I00100,609,Cobro duplicado,Alta,2026-04-28,Abierta
101,I00101,610,Pedido incompleto,Alta,2026-06-16,Abierta
