id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,5,Corte no programado,Baja,2026-02-08,Cerrada
2,I00002,11,Lectura observada,Baja,2026-02-19,Abierta
3,I00003,13,Equipo sin conexión,Media,2026-05-15,Cerrada
4,I00004,19,Instalación reprogramada,Media,2026-02-02,En revisión
5,I00005,20,Consumo atípico,Alta,2026-02-07,Cerrada
6,I00006,23,Corte no programado,Alta,2026-04-11,Cerrada
7,I00007,26,Lectura observada,Alta,2026-04-05,En revisión
8,I00008,30,Equipo sin conexión,Baja,2026-04-08,Abierta
9,I00009,34,Instalación reprogramada,Baja,2026-06-04,Cerrada
10,I00010,44,Consumo atípico,Alta,2026-02-05,En revisión
11,I00011,57,Corte no programado,Media,2026-03-23,Cerrada
12,I00012,68,Lectura observada,Alta,2026-02-12,Cerrada
13,I00013,75,Equipo sin conexión,Media,2026-04-28,Cerrada
14,I00014,84,Instalación reprogramada,Media,2026-05-04,En revisión
15,I00015,102,Consumo atípico,Media,2026-02-16,En revisión
16,I00016,105,Corte no programado,Alta,2026-04-03,Cerrada
17,I00017,107,Lectura observada,Baja,2026-03-08,En revisión
18,I00018,109,Equipo sin conexión,Alta,2026-04-15,Abierta
19,I00019,118,Instalación reprogramada,Alta,2026-05-28,Abierta
20,I00020,121,Consumo atípico,Baja,2026-04-25,Abierta
21,I00021,122,Corte no programado,Baja,2026-03-25,Abierta
22,I00022,124,Lectura observada,Alta,2026-06-28,Cerrada
23,I00023,132,Equipo sin conexión,Alta,2026-03-27,Cerrada
24,I00024,137,Instalación reprogramada,Baja,2026-04-03,Abierta
25,I00025,142,Consumo atípico,Baja,2026-04-25,Cerrada
26,I00026,149,Corte no programado,Alta,2026-03-24,Abierta
27,I00027,161,Lectura observada,Alta,2026-04-01,En revisión
28,I00028,163,Equipo sin conexión,Baja,2026-06-16,En revisión
29,I00029,171,Instalación reprogramada,Baja,2026-05-18,Cerrada
30,I00030,176,Consumo atípico,Media,2026-05-19,Cerrada
31,I00031,178,Corte no programado,Baja,2026-06-02,Abierta
32,I00032,196,Lectura observada,Baja,2026-04-13,En revisión
33,I00033,208,Equipo sin conexión,Alta,2026-06-21,En revisión
34,I00034,210,Instalación reprogramada,Alta,2026-06-10,Abierta
35,I00035,219,Consumo atípico,Media,2026-05-21,Cerrada
36,I00036,220,Corte no programado,Alta,2026-04-05,Abierta
37,I00037,222,Lectura observada,Baja,2026-03-17,En revisión
38,I00038,223,Equipo sin conexión,Baja,2026-03-11,En revisión
39,I00039,227,Instalación reprogramada,Alta,2026-02-25,Cerrada
40,I00040,232,Consumo atípico,Media,2026-06-20,Abierta
41,I00041,233,Corte no programado,Media,2026-02-25,Abierta
42,I00042,247,Lectura observada,Media,2026-04-19,Cerrada
43,I00043,248,Equipo sin conexión,Media,2026-05-23,Cerrada
44,I00044,250,Instalación reprogramada,Media,2026-03-23,Abierta
45,I00045,264,Consumo atípico,Baja,2026-04-25,Cerrada
46,I00046,266,Corte no programado,Alta,2026-02-11,Cerrada
47,I00047,274,Lectura observada,Baja,2026-03-17,En revisión
48,I00048,286,Equipo sin conexión,Media,2026-02-06,En revisión
49,I00049,287,Instalación reprogramada,Alta,2026-05-04,Cerrada
50,I00050,302,Consumo atípico,Baja,2026-05-10,Abierta
51,I00051,324,Corte no programado,Media,2026-04-05,Cerrada
52,I00052,325,Lectura observada,Baja,2026-04-24,En revisión
53,I00053,331,Equipo sin conexión,Media,2026-06-11,Cerrada
54,I00054,341,Instalación reprogramada,Alta,2026-05-18,Cerrada
55,I00055,352,Consumo atípico,Media,2026-02-15,Abierta
56,I00056,364,Corte no programado,Media,2026-05-28,Cerrada
57,I00057,367,Lectura observada,Alta,2026-02-03,Cerrada
58,I00058,368,Equipo sin conexión,Baja,2026-03-18,Cerrada
59,I00059,375,Instalación reprogramada,Alta,2026-02-13,En revisión
60,I00060,377,Consumo atípico,Media,2026-04-08,Cerrada
61,I00061,378,Corte no programado,Alta,2026-02-21,En revisión
