id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,AS0001,Habitación Simple Estándar,Habitación,145.00,1
2,AS0002,Habitación Doble Superior,Habitación,220.00,1
3,AS0003,Habitación Twin Ejecutiva,Habitación,295.00,1
4,AS0004,Habitación Familiar,Habitación,370.00,1
5,AS0005,Junior Suite Andes,Habitación,445.00,1
6,AS0006,Suite Presidencial,Habitación,520.00,0
7,AS0007,Desayuno buffet andino,Restaurante,18.00,1
8,AS0008,Almuerzo menú ejecutivo,Restaurante,24.55,1
9,AS0009,Cena a la carta,Restaurante,33.49,1
10,AS0010,Tabla de quesos peruanos,Restaurante,45.68,1
11,AS0011,Box lunch viajero,Restaurante,62.31,1
12,AS0012,Servicio a la habitación,Restaurante,85.00,1
13,AS0013,Masaje relajante 60 minutos,Spa,45.00,1
14,AS0014,Masaje con piedras calientes,Spa,61.24,1
15,AS0015,Circuito de sauna y vapor,Spa,83.33,1
16,AS0016,Tratamiento facial hidratante,Spa,113.40,1
17,AS0017,Reflexología podal,Spa,154.32,1
18,AS0018,Paquete spa para parejas,Spa,210.00,1
19,AS0019,Traslado aeropuerto hotel,Transporte,35.00,1
20,AS0020,Traslado hotel aeropuerto,Transporte,53.05,1
21,AS0021,Tour panorámico de ciudad,Transporte,80.41,0
22,AS0022,Movilidad corporativa 4 horas,Transporte,121.88,0
23,AS0023,Traslado interprovincial corto,Transporte,184.73,1
24,AS0024,Van para grupo turístico,Transporte,280.00,1
25,AS0025,Sala de reuniones 4 horas,Eventos,120.00,1
26,AS0026,Salón empresarial día completo,Eventos,174.49,1
27,AS0027,Coffee break clásico por 20,Eventos,253.72,1
28,AS0028,Coffee break premium por 20,Eventos,368.92,1
29,AS0029,Equipo audiovisual para evento,Eventos,536.43,1
30,AS0030,Paquete de boda íntima,Eventos,780.00,1
