id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,FN0001,Hamburguesa Norte Clásica,Hamburguesa,9.90,1
2,FN0002,Cheeseburger Doble,Hamburguesa,12.90,1
3,FN0003,Hamburguesa BBQ Andina,Hamburguesa,15.90,1
4,FN0004,Hamburguesa de Pollo Crispy,Hamburguesa,18.90,0
5,FN0005,Hamburguesa Veggie Quinua,Hamburguesa,21.90,1
6,FN0006,Hamburguesa Picante Norteña,Hamburguesa,24.90,0
7,FN0007,Cuarto de pollo crocante,Pollo,12.90,1
8,FN0008,Medio pollo crocante,Pollo,16.90,1
9,FN0009,Alitas BBQ x 8,Pollo,20.90,1
10,FN0010,Alitas picantes x 8,Pollo,24.90,1
11,FN0011,Tiras de pollo x 6,Pollo,28.90,1
12,FN0012,Nuggets de pollo x 10,Pollo,32.90,1
13,FN0013,Combo Norte Clásico,Combo,18.90,1
14,FN0014,Combo Familiar Hamburguesas,Combo,25.10,1
15,FN0015,Combo Pollo Crispy,Combo,31.30,1
16,FN0016,Combo Alitas para Dos,Combo,37.50,1
17,FN0017,Combo Infantil Aventura,Combo,43.70,0
18,FN0018,Combo Veggie Completo,Combo,49.90,1
19,FN0019,Papas fritas medianas,Acompañamiento,4.90,0
20,FN0020,Papas nativas con huancaína,Acompañamiento,6.70,1
21,FN0021,Aros de cebolla x 8,Acompañamiento,8.50,1
22,FN0022,Ensalada fresca,Acompañamiento,10.30,1
23,FN0023,Tequeños de queso x 6,Acompañamiento,12.10,1
24,FN0024,Choclo con mantequilla,Acompañamiento,13.90,1
25,FN0025,Chicha morada 500 ml,Bebida y postre,3.90,1
26,FN0026,Limonada frozen 500 ml,Bebida y postre,6.10,1
27,FN0027,Gaseosa 500 ml,Bebida y postre,8.30,1
28,FN0028,Milkshake de lúcuma,Bebida y postre,10.50,1
29,FN0029,Brownie con helado,Bebida y postre,12.70,1
30,FN0030,Cheesecake de maracuyá,Bebida y postre,14.90,1
