id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-04-23,Transferencia SWIFT,277.2,pagado
2,PG00002,2,2026-06-23,Carta de crédito,359.20,Pagado
3,PG00003,3,2026-04-15,Cobranza documentaria,655.00,Pagado
4,PG00004,4,2026-02-22,Transferencia local,2584.35,pagado
5,PG00005,5,2026-04-06,Transferencia SWIFT,417.0,Parcial
6,PG00006,6,2026-06-17,Carta de crédito,0.0,Anulado
7,PG00007,7,2026-03-11,Cobranza documentaria,467.35,Pagado
8,PG00008,8,2026-02-20,Transferencia local,767.16,Pagado
9,PG00009,9,2026-05-18,Transferencia SWIFT,416.40,Pagado
10,PG00010,10,2026-03-05,Carta de crédito,392.00,Pagado
11,PG00011,11,2026-03-24,Cobranza documentaria,171.20,Pagado
12,PG00012,12,2026-06-09,Transferencia local,97.20,Pagado
13,PG00013,13,2026-06-15,Transferencia SWIFT,465.60,Pagado
14,PG00014,14,2026-01-28,Carta de crédito,264.00,Pagado
15,PG00015,15,2026-03-21,Cobranza documentaria,0.0,Anulado
16,PG00016,16,2026-01-27,Transferencia local,240.00,Pagado
17,PG00017,17,2026-03-16,Transferencia SWIFT,262.00,Pagado
18,PG00018,18,2026-02-21,Carta de crédito,542.40,Pagado
19,PG00019,19,2026-02-23,Cobranza documentaria,2844.96,Parcial
20,PG00020,20,2026-01-17,Transferencia local,374.00,Pagado
21,PG00021,21,2026-02-19,Transferencia SWIFT,0.0,Anulado
22,PG00022,22,2026-05-07,Carta de crédito,176.00,Pagado
23,PG00023,23,2026-01-11,Cobranza documentaria,592.00,Pagado
24,PG00024,24,2026-03-21,Transferencia local,2204.81,Pagado
25,PG00025,25,2026-06-21,Transferencia SWIFT,220.24,Pagado
26,PG00026,26,2026-02-05,Carta de crédito,239.20,Pagado
27,PG00027,27,2026-02-17,Cobranza documentaria,145.20,Pagado
28,PG00028,28,2026-03-12,Transferencia local,445.20,Pagado
29,PG00029,29,2026-04-17,Transferencia SWIFT,0.0,Anulado
30,PG00030,30,2026-06-24,Carta de crédito,307.20,Pagado
31,PG00031,31,2026-06-22,Cobranza documentaria,0.0,Anulado
32,PG00032,32,2026-02-26,Transferencia local,727.28,Pagado
33,PG00033,33,2026-05-03,Transferencia SWIFT,208.80,Pagado
34,PG00034,34,2026-05-16,Carta de crédito,292.80,Pagado
35,PG00035,35,2026-02-24,Cobranza documentaria,439.2,Parcial
36,PG00036,36,2026-01-07,Transferencia local,186.40,Pagado
37,PG00037,37,2026-06-16,Transferencia SWIFT,704.68,Pagado
38,PG00038,38,2026-02-18,Carta de crédito,204.09,Pagado
39,PG00039,39,2026-03-19,Cobranza documentaria,425.61,Parcial
40,PG00040,40,2026-06-01,Transferencia local,554.00,Pagado
41,PG00041,41,2026-05-21,Transferencia SWIFT,327.20,Pagado
42,PG00042,42,2026-05-04,Carta de crédito,250.40,Pagado
43,PG00043,43,2026-04-12,Cobranza documentaria,536.00,Pagado
44,PG00044,44,2026-03-15,Transferencia local,226.83,Pagado
45,PG00045,45,2026-01-22,Transferencia SWIFT,842.00,Pagado
46,PG00046,46,2026-04-24,Carta de crédito,312.00,Pagado
47,PG00047,47,2026-06-26,Cobranza documentaria,365.60,Pagado
48,PG00048,48,2026-05-14,Transferencia local,0.0,Anulado
49,PG00049,49,2026-03-01,Transferencia SWIFT,341.80,Pagado
50,PG00050,50,2026-05-20,Carta de crédito,855.64,Pagado
51,PG00051,51,2026-03-25,Cobranza documentaria,0.0,Anulado
52,PG00052,52,2026-05-26,Transferencia local,510.00,Pagado
53,PG00053,53,2026-04-07,Transferencia SWIFT,359.60,Pagado
54,PG00054,54,2026-03-14,Carta de crédito,389.20,Pagado
55,PG00055,55,2026-02-11,Cobranza documentaria,216.00,Pagado
56,PG00056,56,2026-06-21,Transferencia local,2678.93,Parcial
57,PG00057,57,2026-03-15,Transferencia SWIFT,0.0,Anulado
58,PG00058,58,2026-04-04,Carta de crédito,472.24,Pagado
59,PG00059,59,2026-05-12,Cobranza documentaria,207.39,Pagado
60,PG00060,60,2026-04-09,Transferencia local,0.0,Anulado
61,PG00061,61,2026-03-22,Transferencia SWIFT,120.00,Pagado
62,PG00062,62,2026-06-21,Carta de crédito,562.40,Pagado
63,PG00063,63,2026-01-03,Cobranza documentaria,647.44,Pagado
64,PG00064,64,2026-04-06,Transferencia local,666.87,Parcial
65,PG00065,65,2026-02-23,Transferencia SWIFT,0.0,Anulado
66,PG00066,66,2026-02-08,Carta de crédito,509.72,pagado
67,PG00067,67,2026-03-23,Cobranza documentaria,328.00,Pagado
68,PG00068,68,2026-02-04,Transferencia local,414.40,Pagado
69,PG00069,69,2026-06-21,Transferencia SWIFT,398.00,Pagado
70,PG00070,70,2026-02-21,Carta de crédito,929.49,Parcial
71,PG00071,71,2026-02-04,Cobranza documentaria,176.00,Pagado
72,PG00072,72,2026-01-05,Transferencia local,0.0,Anulado
73,PG00073,73,2026-03-06,Transferencia SWIFT,2271.72,Pagado
74,PG00074,74,2026-01-17,Carta de crédito,983.2,Parcial
75,PG00075,75,2026-01-02,Cobranza documentaria,0.0,Anulado
76,PG00076,76,2026-01-20,Transferencia local,210.00,Pagado
77,PG00077,77,2026-05-24,Transferencia SWIFT,0.0,Anulado
78,PG00078,78,2026-02-24,Carta de crédito,42.00,Pagado
79,PG00079,79,2026-02-23,Cobranza documentaria,36.00,Pagado
80,PG00080,80,2026-01-19,Transferencia local,0.0,Anulado
81,PG00081,81,2026-05-16,Transferencia SWIFT,312.00,Pagado
82,PG00082,82,2026-04-12,Carta de crédito,605.66,Pagado
83,PG00083,83,2026-06-23,Cobranza documentaria,0.0,Anulado
84,PG00084,84,2026-02-23,Transferencia local,1804.15,Parcial
85,PG00085,85,2026-03-11,Transferencia SWIFT,588.64,Pagado
86,PG00086,86,2026-06-07,Carta de crédito,0.0,Anulado
87,PG00087,87,2026-03-19,Cobranza documentaria,463.20,Pagado
88,PG00088,88,2026-03-12,Transferencia local,0.0,Anulado
89,PG00089,89,2026-06-05,Transferencia SWIFT,508.00,Pagado
90,PG00090,90,2026-01-20,Carta de crédito,240.00,Pagado
91,PG00091,91,2026-05-12,Cobranza documentaria,2560.86,Pagado
92,PG00092,92,2026-01-28,Transferencia local,595.04,pagado
