id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-04-25,Transferencia,4068.70,Pagado
2,PG00002,2,2026-01-13,Letra a 30 días,0.0,anulado
3,PG00003,3,2026-01-11,Carta fianza,1711.23,Pagado
4,PG00004,4,2026-06-24,Crédito empresarial,145.74,Pagado
5,PG00005,5,2026-06-24,Transferencia,699.91,Parcial
6,PG00006,6,2026-02-28,Letra a 30 días,4600.10,Pagado
7,PG00007,7,2026-02-27,Carta fianza,217.38,Pagado
8,PG00008,8,2026-05-22,Crédito empresarial,1888.20,Pagado
9,PG00009,9,2026-02-15,Transferencia,589.52,Pagado
10,PG00010,10,2026-03-25,Letra a 30 días,175.00,Pagado
11,PG00011,11,2026-04-12,Carta fianza,4837.48,Pagado
12,PG00012,12,2026-02-15,Crédito empresarial,0.0,Anulado
13,PG00013,13,,Transferencia,0.0,Anulado
14,PG00014,14,2026-06-20,Letra a 30 días,1085.54,Pagado
15,PG00015,15,2025-12-20,Carta fianza,5672.65,Pagado
16,PG00016,16,2026-05-05,Crédito empresarial,2631.32,Parcial
17,PG00017,17,2026-03-14,Transferencia,251.76,Pagado
18,PG00018,18,2026-04-19,Letra a 30 días,2478.23,Pagado
19,PG00019,19,2026-01-17,Carta fianza,4218.42,Pagado
20,PG00020,20,2026-01-16,Crédito empresarial,0.0,Anulado
21,PG00021,21,2026-04-02,Transferencia,0.0,Anulado
22,PG00022,22,2026-02-24,Letra a 30 días,6170.96,Pagado
23,PG00023,23,2026-02-20,Carta fianza,819.63,Pagado
24,PG00024,24,2026-04-28,Crédito empresarial,715.72,Parcial
25,PG00025,25,2026-04-02,Transferencia,0.0,Anulado
26,PG00026,26,,Letra a 30 días,1520.48,Parcial
27,PG00027,27,2026-04-07,Carta fianza,1560.00,Pagado
28,PG00028,28,2026-03-23,Crédito empresarial,441.06,Pagado
29,PG00029,29,2026-04-14,Transferencia,7250.00,Pagado
30,PG00030,30,2026-04-22,Letra a 30 días,314.28,Pagado
31,PG00031,31,2026-02-11,Carta fianza,3889.53,pagado
32,PG00032,32,2026-02-26,Crédito empresarial,1220.00,Pagado
33,PG00033,33,2026-04-16,Transferencia,1615.42,Pagado
34,PG00034,34,2026-04-15,Letra a 30 días,229.17,Pagado
35,PG00035,35,2026-04-27,Carta fianza,877.05,Pagado
36,PG00036,36,2026-05-16,Crédito empresarial,1285.05,Pagado
37,PG00037,37,2026-06-25,Transferencia,272.58,Pagado
38,PG00038,38,2026-05-24,Letra a 30 días,1289.45,pagado
39,PG00039,39,2026-01-14,Carta fianza,1429.93,Pagado
40,PG00040,40,2026-01-25,Crédito empresarial,218.72,Pagado
41,PG00041,41,2026-06-01,Transferencia,244.52,Pagado
42,PG00042,42,2026-04-15,Letra a 30 días,1218.70,Pagado
43,PG00043,43,2026-03-22,Carta fianza,1201.53,Pagado
44,PG00044,44,2026-05-17,Crédito empresarial,1020.12,Pagado
45,PG00045,45,2026-06-17,Transferencia,0.0,Anulado
46,PG00046,46,2026-04-13,Letra a 30 días,762.10,Pagado
47,PG00047,47,2026-03-09,Carta fianza,83.40,Pagado
48,PG00048,48,2026-05-04,Crédito empresarial,0.0,Anulado
49,PG00049,49,2026-03-22,Transferencia,5497.48,Pagado
50,PG00050,50,2026-04-12,Letra a 30 días,188.82,Pagado
51,PG00051,51,2026-06-09,Carta fianza,4937.25,Pagado
52,PG00052,52,2026-01-01,Crédito empresarial,20.85,Pagado
53,PG00053,53,2026-02-19,Transferencia,89.35,Pagado
54,PG00054,54,2026-05-05,Letra a 30 días,303.29,Pagado
55,PG00055,55,2026-01-01,Carta fianza,7903.50,Pagado
56,PG00056,56,2026-02-11,Crédito empresarial,1820.01,Pagado
57,PG00057,57,2026-05-25,Transferencia,1818.76,Parcial
58,PG00058,58,2026-01-08,Letra a 30 días,4164.48,Pagado
