id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,4,Transferencia observada,Alta,2026-03-11,Abierta
2,I00002,9,Cargo no reconocido,Media,2026-04-21,En revisión
3,I00003,17,Retención de tarjeta,Alta,2026-04-04,Abierta
4,I00004,18,Desembolso pendiente,Media,2026-02-05,Abierta
5,I00005,20,Bloqueo de cuenta,Baja,2026-06-08,Abierta
6,I00006,27,Transferencia observada,Media,2026-06-03,Abierta
7,I00007,35,Cargo no reconocido,Alta,2026-04-14,En revisión
8,I00008,43,Retención de tarjeta,Baja,2026-06-03,En revisión
9,I00009,47,Desembolso pendiente,Alta,2026-05-25,Abierta
10,I00010,49,Bloqueo de cuenta,Alta,2026-02-14,Abierta
11,I00011,50,Transferencia observada,Baja,2026-06-16,Abierta
12,I00012,51,Cargo no reconocido,Baja,2026-02-08,Abierta
13,I00013,54,Retención de tarjeta,Baja,2026-03-10,Abierta
14,I00014,64,Desembolso pendiente,Alta,2026-03-13,En revisión
15,I00015,87,Bloqueo de cuenta,Baja,2026-02-23,Cerrada
16,I00016,89,Transferencia observada,Alta,2026-05-01,Cerrada
17,I00017,93,Cargo no reconocido,Baja,2026-05-11,Abierta
18,I00018,107,Retención de tarjeta,Baja,2026-02-07,Cerrada
19,I00019,109,Desembolso pendiente,Baja,2026-05-09,Abierta
20,I00020,113,Bloqueo de cuenta,Media,2026-02-14,En revisión
21,I00021,152,Transferencia observada,Alta,2026-03-18,Cerrada
22,I00022,153,Cargo no reconocido,Alta,2026-06-25,Abierta
23,I00023,154,Retención de tarjeta,Baja,2026-04-13,Cerrada
24,I00024,156,Desembolso pendiente,Alta,2026-04-08,Abierta
25,I00025,171,Bloqueo de cuenta,Media,2026-02-10,Abierta
26,I00026,180,Transferencia observada,Alta,2026-02-10,En revisión
27,I00027,181,Cargo no reconocido,Media,2026-04-20,Abierta
28,I00028,184,Retención de tarjeta,Baja,2026-06-10,Cerrada
29,I00029,192,Desembolso pendiente,Alta,2026-03-11,En revisión
30,I00030,207,Bloqueo de cuenta,Alta,2026-04-20,Cerrada
31,I00031,214,Transferencia observada,Media,2026-04-24,Cerrada
32,I00032,215,Cargo no reconocido,Media,2026-06-21,En revisión
33,I00033,221,Retención de tarjeta,Baja,2026-05-21,Abierta
34,I00034,237,Desembolso pendiente,Alta,2026-02-28,Cerrada
35,I00035,240,Bloqueo de cuenta,Alta,2026-04-24,Cerrada
36,I00036,243,Transferencia observada,Alta,2026-05-08,Abierta
37,I00037,248,Cargo no reconocido,Baja,2026-04-06,En revisión
38,I00038,263,Retención de tarjeta,Alta,2026-06-20,En revisión
39,I00039,269,Desembolso pendiente,Alta,2026-03-24,En revisión
40,I00040,273,Bloqueo de cuenta,Baja,2026-02-27,Cerrada
41,I00041,281,Transferencia observada,Media,2026-06-07,En revisión
42,I00042,286,Cargo no reconocido,Alta,2026-06-25,En revisión
43,I00043,290,Retención de tarjeta,Alta,2026-02-23,En revisión
44,I00044,292,Desembolso pendiente,Media,2026-02-22,Abierta
45,I00045,297,Bloqueo de cuenta,Media,2026-05-12,Cerrada
46,I00046,307,Transferencia observada,Baja,2026-05-17,En revisión
47,I00047,320,Cargo no reconocido,Media,2026-04-13,Cerrada
48,I00048,322,Retención de tarjeta,Media,2026-02-02,Abierta
49,I00049,330,Desembolso pendiente,Alta,2026-06-04,Abierta
50,I00050,334,Bloqueo de cuenta,Alta,2026-02-19,Cerrada
51,I00051,335,Transferencia observada,Media,2026-06-02,Abierta
52,I00052,338,Cargo no reconocido,Baja,2026-05-25,En revisión
53,I00053,339,Retención de tarjeta,Media,2026-04-04,Cerrada
54,I00054,340,Desembolso pendiente,Alta,2026-04-25,Abierta
55,I00055,341,Bloqueo de cuenta,Media,2026-06-09,En revisión
56,I00056,352,Transferencia observada,Alta,2026-06-03,Abierta
57,I00057,364,Cargo no reconocido,Alta,2026-02-14,Abierta
58,I00058,368,Retención de tarjeta,Alta,2026-03-19,En revisión
