id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,MD0001,Copia certificada de partida,Registro civil,12.00,0
2,MD0002,Inscripción de nacimiento,Registro civil,16.44,1
3,MD0003,Rectificación administrativa de acta,Registro civil,22.54,1
4,MD0004,Constancia negativa de inscripción,Registro civil,30.88,1
5,MD0005,Celebración de matrimonio civil,Registro civil,42.32,1
6,MD0006,Certificado de soltería,Registro civil,58.00,1
7,MD0007,Pago de impuesto predial,Tributo,0.00,1
8,MD0008,Pago de arbitrios municipales,Tributo,19.00,1
9,MD0009,Fraccionamiento tributario,Tributo,38.00,1
10,MD0010,Constancia de no adeudo,Tributo,57.00,0
11,MD0011,Declaración jurada de predio,Tributo,76.00,1
12,MD0012,Actualización de contribuyente,Tributo,95.00,0
13,MD0013,Licencia de funcionamiento básica,Licencia,45.00,1
14,MD0014,Licencia para restaurante,Licencia,70.34,1
15,MD0015,Autorización de anuncio publicitario,Licencia,109.96,1
16,MD0016,Certificado ITSE,Licencia,171.88,1
17,MD0017,Permiso para evento temporal,Licencia,268.68,1
18,MD0018,Autorización de comercio ambulatorio,Licencia,420.00,1
19,MD0019,Certificado de numeración,Catastro,18.00,1
20,MD0020,Visación de planos,Catastro,31.16,0
21,MD0021,Certificado de parámetros urbanísticos,Catastro,53.95,1
22,MD0022,Actualización catastral,Catastro,93.41,1
23,MD0023,Independización de predio,Catastro,161.73,1
24,MD0024,Constancia de posesión,Catastro,280.00,1
25,MD0025,Reclamo por arbitrios,Reclamo,0.00,1
26,MD0026,Reclamo por multa administrativa,Reclamo,7.00,1
27,MD0027,Solicitud de acceso a información,Reclamo,14.00,1
28,MD0028,Queja por atención municipal,Reclamo,21.00,1
29,MD0029,Denuncia vecinal,Reclamo,28.00,1
30,MD0030,Recurso de reconsideración,Reclamo,35.00,1
