id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,7,Expediente observado,Media,2026-03-26,Cerrada
2,I00002,14,Documento pendiente,Media,2026-03-20,Abierta
3,I00003,15,Pago no conciliado,Alta,2026-04-12,Cerrada
4,I00004,16,Plazo vencido,Alta,2026-05-07,Abierta
5,I00005,17,Dirección catastral inconsistente,Alta,2026-05-14,Abierta
6,I00006,20,Expediente observado,Alta,2026-03-13,En revisión
7,I00007,27,Documento pendiente,Media,2026-03-01,Cerrada
8,I00008,28,Pago no conciliado,Media,2026-06-12,En revisión
9,I00009,29,Plazo vencido,Alta,2026-04-28,Cerrada
10,I00010,38,Dirección catastral inconsistente,Baja,2026-03-27,Abierta
11,I00011,42,Expediente observado,Media,2026-03-25,En revisión
12,I00012,47,Documento pendiente,Media,2026-02-09,Abierta
13,I00013,48,Pago no conciliado,Media,2026-05-10,Cerrada
14,I00014,50,Plazo vencido,Baja,2026-05-22,En revisión
15,I00015,51,Dirección catastral inconsistente,Alta,2026-05-23,Abierta
16,I00016,58,Expediente observado,Alta,2026-04-19,Abierta
17,I00017,65,Documento pendiente,Baja,2026-05-09,Cerrada
18,I00018,77,Pago no conciliado,Alta,2026-06-12,Cerrada
19,I00019,90,Plazo vencido,Baja,2026-06-14,Abierta
20,I00020,95,Dirección catastral inconsistente,Media,2026-02-26,Cerrada
21,I00021,117,Expediente observado,Alta,2026-03-06,Abierta
22,I00022,130,Documento pendiente,Baja,2026-02-12,Cerrada
23,I00023,138,Pago no conciliado,Media,2026-06-28,Abierta
24,I00024,139,Plazo vencido,Media,2026-04-02,Cerrada
25,I00025,142,Dirección catastral inconsistente,Baja,2026-06-09,En revisión
26,I00026,153,Expediente observado,Media,2026-05-03,En revisión
27,I00027,159,Documento pendiente,Alta,2026-02-28,Abierta
28,I00028,161,Pago no conciliado,Baja,2026-03-04,En revisión
29,I00029,171,Plazo vencido,Baja,2026-03-08,Cerrada
30,I00030,175,Dirección catastral inconsistente,Baja,2026-06-17,Cerrada
31,I00031,192,Expediente observado,Media,2026-02-16,En revisión
32,I00032,194,Documento pendiente,Alta,2026-06-05,Abierta
33,I00033,197,Pago no conciliado,Baja,2026-06-20,Abierta
34,I00034,198,Plazo vencido,Baja,2026-06-25,En revisión
35,I00035,202,Dirección catastral inconsistente,Media,2026-06-26,Abierta
36,I00036,226,Expediente observado,Media,2026-03-18,Cerrada
37,I00037,232,Documento pendiente,Alta,2026-02-08,Cerrada
38,I00038,237,Pago no conciliado,Media,2026-06-25,En revisión
39,I00039,242,Plazo vencido,Media,2026-04-01,Abierta
40,I00040,248,Dirección catastral inconsistente,Media,2026-03-18,En revisión
41,I00041,252,Expediente observado,Media,2026-06-26,En revisión
42,I00042,254,Documento pendiente,Alta,2026-02-07,En revisión
43,I00043,262,Pago no conciliado,Alta,2026-04-11,Abierta
44,I00044,264,Plazo vencido,Baja,2026-03-28,Cerrada
45,I00045,274,Dirección catastral inconsistente,Media,2026-04-27,En revisión
46,I00046,280,Expediente observado,Baja,2026-05-11,Abierta
47,I00047,285,Documento pendiente,Media,2026-05-14,Abierta
48,I00048,287,Pago no conciliado,Media,2026-04-28,En revisión
49,I00049,297,Plazo vencido,Baja,2026-04-15,Abierta
50,I00050,300,Dirección catastral inconsistente,Media,2026-02-05,Cerrada
51,I00051,308,Expediente observado,Media,2026-04-21,En revisión
52,I00052,314,Documento pendiente,Alta,2026-05-09,Cerrada
53,I00053,323,Pago no conciliado,Media,2026-06-26,Cerrada
54,I00054,338,Plazo vencido,Alta,2026-03-10,Cerrada
55,I00055,341,Dirección catastral inconsistente,Baja,2026-06-23,Abierta
56,I00056,352,Expediente observado,Media,2026-05-23,En revisión
57,I00057,359,Documento pendiente,Media,2026-06-16,En revisión
58,I00058,362,Pago no conciliado,Media,2026-04-06,Cerrada
59,I00059,364,Plazo vencido,Baja,2026-03-28,Cerrada
60,I00060,373,Dirección catastral inconsistente,Media,2026-04-26,En revisión
61,I00061,384,Expediente observado,Baja,2026-04-19,Cerrada
62,I00062,387,Documento pendiente,Media,2026-06-28,Abierta
63,I00063,390,Pago no conciliado,Alta,2026-02-13,En revisión
64,I00064,393,Plazo vencido,Baja,2026-03-15,Cerrada
65,I00065,398,Dirección catastral inconsistente,Alta,2026-06-25,Abierta
66,I00066,402,Expediente observado,Media,2026-02-21,Cerrada
67,I00067,405,Documento pendiente,Baja,2026-05-12,Cerrada
68,I00068,406,Pago no conciliado,Baja,2026-03-13,Abierta
69,I00069,414,Plazo vencido,Alta,2026-05-01,Cerrada
70,I00070,424,Dirección catastral inconsistente,Baja,2026-04-21,Cerrada
71,I00071,429,Expediente observado,Media,2026-05-13,Cerrada
72,I00072,431,Documento pendiente,Baja,2026-02-22,Cerrada
73,I00073,433,Pago no conciliado,Media,2026-06-10,En revisión
74,I00074,434,Plazo vencido,Media,2026-05-26,Cerrada
75,I00075,435,Dirección catastral inconsistente,Alta,2026-06-13,En revisión
76,I00076,438,Expediente observado,Alta,2026-04-10,En revisión
