id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,17,Producto faltante,Alta,2026-02-24,En revisión
2,I00002,20,Receta observada,Alta,2026-02-24,Cerrada
3,I00003,23,Lote próximo a vencer,Baja,2026-02-23,En revisión
4,I00004,27,Error de dispensación,Baja,2026-04-17,En revisión
5,I00005,30,Demora en delivery,Media,2026-06-20,Cerrada
6,I00006,37,Producto faltante,Media,2026-03-10,Cerrada
7,I00007,42,Receta observada,Baja,2026-02-26,Cerrada
8,I00008,45,Lote próximo a vencer,Media,2026-05-09,Cerrada
9,I00009,49,Error de dispensación,Baja,2026-04-01,Cerrada
10,I00010,50,Demora en delivery,Media,2026-05-25,Cerrada
11,I00011,74,Producto faltante,Alta,2026-03-28,Abierta
12,I00012,80,Receta observada,Alta,2026-05-26,En revisión
13,I00013,85,Lote próximo a vencer,Baja,2026-06-22,Abierta
14,I00014,89,Error de dispensación,Baja,2026-04-10,En revisión
15,I00015,94,Demora en delivery,Media,2026-04-28,Abierta
16,I00016,102,Producto faltante,Alta,2026-03-11,Cerrada
17,I00017,116,Receta observada,Alta,2026-06-07,Cerrada
18,I00018,146,Lote próximo a vencer,Alta,2026-06-14,Cerrada
19,I00019,149,Error de dispensación,Media,2026-02-15,En revisión
20,I00020,160,Demora en delivery,Media,2026-03-14,Abierta
21,I00021,179,Producto faltante,Baja,2026-03-05,Cerrada
22,I00022,183,Receta observada,Baja,2026-04-28,Cerrada
23,I00023,184,Lote próximo a vencer,Media,2026-03-13,Cerrada
24,I00024,187,Error de dispensación,Media,2026-05-05,En revisión
25,I00025,190,Demora en delivery,Baja,2026-02-02,Abierta
26,I00026,196,Producto faltante,Media,2026-03-14,En revisión
27,I00027,198,Receta observada,Baja,2026-04-13,Abierta
28,I00028,201,Lote próximo a vencer,Baja,2026-05-05,Abierta
29,I00029,205,Error de dispensación,Baja,2026-04-21,Abierta
30,I00030,208,Demora en delivery,Baja,2026-06-08,Abierta
31,I00031,210,Producto faltante,Baja,2026-02-25,Abierta
32,I00032,213,Receta observada,Alta,2026-05-18,Abierta
