id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,LX0001,Envío express hasta 1 kg,Express,12.00,1
2,LX0002,Envío express hasta 3 kg,Express,19.20,1
3,LX0003,Entrega en 2 horas,Express,26.40,1
4,LX0004,Entrega programada mañana,Express,33.60,1
5,LX0005,Documento urgente,Express,40.80,1
6,LX0006,Recojo express en tienda,Express,48.00,1
7,LX0007,Envío estándar Lima 1 kg,Estándar,8.00,1
8,LX0008,Envío estándar Lima 5 kg,Estándar,10.75,0
9,LX0009,Envío a provincia 1 kg,Estándar,14.44,1
10,LX0010,Envío a provincia 5 kg,Estándar,19.39,1
11,LX0011,Distribución de sobres,Estándar,26.05,1
12,LX0012,Ruta múltiple de 5 paradas,Estándar,35.00,1
13,LX0013,Carga ligera hasta 30 kg,Carga,45.00,1
14,LX0014,Carga mediana hasta 100 kg,Carga,63.91,1
15,LX0015,Mudanza express minivan,Carga,90.76,0
16,LX0016,Flete urbano furgón,Carga,128.90,1
17,LX0017,Distribución de pallets,Carga,183.07,1
18,LX0018,Recojo de mercadería mayorista,Carga,260.00,1
19,LX0019,Cadena fría farmacéutica,Refrigerado,55.00,0
20,LX0020,Entrega refrigerada de alimentos,Refrigerado,78.22,1
21,LX0021,Transporte de muestras clínicas,Refrigerado,111.24,1
22,LX0022,Caja térmica por jornada,Refrigerado,158.21,0
23,LX0023,Ruta refrigerada metropolitana,Refrigerado,225.01,1
24,LX0024,Custodia de producto congelado,Refrigerado,320.00,1
25,LX0025,Documento internacional,Internacional,95.00,1
26,LX0026,Paquete internacional 1 kg,Internacional,131.35,1
27,LX0027,Paquete internacional 5 kg,Internacional,181.61,1
28,LX0028,Exportación courier pyme,Internacional,251.09,1
29,LX0029,Importación courier personal,Internacional,347.17,1
30,LX0030,Gestión aduanera simplificada,Internacional,480.00,0
