id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,1,Línea sin servicio,Baja,2026-04-22,Cerrada
2,I00002,7,Portabilidad pendiente,Alta,2026-04-02,En revisión
3,I00003,29,Cobro no reconocido,Baja,2026-02-15,Cerrada
4,I00004,32,Equipo con falla,Alta,2026-03-19,Cerrada
5,I00005,35,Recarga no aplicada,Baja,2026-04-09,Cerrada
6,I00006,36,Línea sin servicio,Media,2026-02-09,En revisión
7,I00007,51,Portabilidad pendiente,Baja,2026-06-14,En revisión
8,I00008,56,Cobro no reconocido,Baja,2026-05-18,Cerrada
9,I00009,57,Equipo con falla,Baja,2026-04-05,Abierta
10,I00010,63,Recarga no aplicada,Baja,2026-06-24,Cerrada
11,I00011,64,Línea sin servicio,Alta,2026-05-04,Cerrada
12,I00012,65,Portabilidad pendiente,Baja,2026-04-27,En revisión
13,I00013,70,Cobro no reconocido,Alta,2026-06-28,En revisión
14,I00014,86,Equipo con falla,Baja,2026-03-06,Cerrada
15,I00015,98,Recarga no aplicada,Baja,2026-03-10,En revisión
16,I00016,112,Línea sin servicio,Baja,2026-06-18,Cerrada
17,I00017,113,Portabilidad pendiente,Media,2026-06-13,Cerrada
18,I00018,120,Cobro no reconocido,Media,2026-04-24,En revisión
19,I00019,121,Equipo con falla,Baja,2026-04-25,En revisión
20,I00020,123,Recarga no aplicada,Alta,2026-06-07,Abierta
21,I00021,129,Línea sin servicio,Alta,2026-05-26,Abierta
22,I00022,139,Portabilidad pendiente,Baja,2026-03-26,En revisión
23,I00023,146,Cobro no reconocido,Baja,2026-05-14,En revisión
24,I00024,169,Equipo con falla,Media,2026-06-13,Abierta
25,I00025,181,Recarga no aplicada,Media,2026-03-14,Abierta
26,I00026,190,Línea sin servicio,Baja,2026-06-27,En revisión
27,I00027,194,Portabilidad pendiente,Media,2026-06-15,Abierta
28,I00028,202,Cobro no reconocido,Media,2026-04-26,Cerrada
29,I00029,207,Equipo con falla,Alta,2026-06-20,Abierta
30,I00030,215,Recarga no aplicada,Media,2026-04-25,Abierta
31,I00031,228,Línea sin servicio,Media,2026-05-26,Cerrada
32,I00032,234,Portabilidad pendiente,Alta,2026-05-07,Abierta
33,I00033,236,Cobro no reconocido,Baja,2026-03-10,Abierta
34,I00034,237,Equipo con falla,Baja,2026-04-02,Abierta
35,I00035,240,Recarga no aplicada,Media,2026-04-22,En revisión
36,I00036,241,Línea sin servicio,Baja,2026-02-09,En revisión
37,I00037,261,Portabilidad pendiente,Alta,2026-06-11,Abierta
38,I00038,270,Cobro no reconocido,Alta,2026-05-09,Abierta
39,I00039,308,Equipo con falla,Media,2026-02-19,En revisión
40,I00040,311,Recarga no aplicada,Baja,2026-02-16,Cerrada
