id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,1,Cita reprogramada,Alta,2026-05-08,En revisión
2,I00002,4,Reacción posvacuna,Alta,2026-06-05,Cerrada
3,I00003,9,Resultado pendiente,Alta,2026-05-07,Cerrada
4,I00004,15,Medicamento agotado,Media,2026-02-16,Abierta
5,I00005,19,Observación de hospitalización,Baja,2026-04-07,Cerrada
6,I00006,30,Cita reprogramada,Media,2026-02-25,Abierta
7,I00007,39,Reacción posvacuna,Alta,2026-02-08,Abierta
8,I00008,40,Resultado pendiente,Media,2026-02-11,Abierta
9,I00009,42,Medicamento agotado,Alta,2026-06-14,Abierta
10,I00010,45,Observación de hospitalización,Baja,2026-06-28,Abierta
11,I00011,48,Cita reprogramada,Media,2026-02-28,En revisión
12,I00012,53,Reacción posvacuna,Media,2026-03-16,Cerrada
13,I00013,55,Resultado pendiente,Media,2026-06-11,Cerrada
14,I00014,65,Medicamento agotado,Media,2026-05-06,En revisión
15,I00015,67,Observación de hospitalización,Media,2026-04-21,Cerrada
16,I00016,75,Cita reprogramada,Baja,2026-02-16,En revisión
17,I00017,84,Reacción posvacuna,Alta,2026-03-22,Cerrada
18,I00018,96,Resultado pendiente,Baja,2026-04-25,Abierta
19,I00019,100,Medicamento agotado,Baja,2026-06-19,En revisión
20,I00020,106,Observación de hospitalización,Alta,2026-03-10,Abierta
21,I00021,116,Cita reprogramada,Media,2026-05-24,Abierta
22,I00022,117,Reacción posvacuna,Alta,2026-02-17,En revisión
23,I00023,122,Resultado pendiente,Media,2026-03-19,Abierta
24,I00024,130,Medicamento agotado,Baja,2026-02-01,En revisión
25,I00025,147,Observación de hospitalización,Alta,2026-06-24,En revisión
26,I00026,148,Cita reprogramada,Alta,2026-03-01,Abierta
27,I00027,166,Reacción posvacuna,Media,2026-06-13,En revisión
28,I00028,168,Resultado pendiente,Alta,2026-06-23,Abierta
29,I00029,170,Medicamento agotado,Baja,2026-05-24,Abierta
30,I00030,174,Observación de hospitalización,Media,2026-06-08,Cerrada
31,I00031,183,Cita reprogramada,Media,2026-03-18,En revisión
32,I00032,189,Reacción posvacuna,Alta,2026-03-18,En revisión
33,I00033,194,Resultado pendiente,Alta,2026-06-19,Abierta
34,I00034,197,Medicamento agotado,Media,2026-06-08,Abierta
35,I00035,209,Observación de hospitalización,Media,2026-06-08,Abierta
36,I00036,211,Cita reprogramada,Media,2026-02-17,Cerrada
37,I00037,213,Reacción posvacuna,Baja,2026-03-04,Abierta
38,I00038,218,Resultado pendiente,Alta,2026-04-12,Abierta
39,I00039,220,Medicamento agotado,Media,2026-05-01,Cerrada
40,I00040,224,Observación de hospitalización,Baja,2026-06-08,En revisión
41,I00041,228,Cita reprogramada,Baja,2026-04-01,Abierta
42,I00042,232,Reacción posvacuna,Media,2026-04-12,Abierta
43,I00043,233,Resultado pendiente,Media,2026-02-14,Abierta
44,I00044,242,Medicamento agotado,Media,2026-04-13,Abierta
45,I00045,243,Observación de hospitalización,Baja,2026-06-10,Abierta
46,I00046,247,Cita reprogramada,Baja,2026-06-05,Abierta
47,I00047,250,Reacción posvacuna,Media,2026-06-28,Cerrada
48,I00048,263,Resultado pendiente,Alta,2026-05-07,Abierta
49,I00049,264,Medicamento agotado,Baja,2026-03-19,Abierta
50,I00050,270,Observación de hospitalización,Baja,2026-02-05,En revisión
51,I00051,271,Cita reprogramada,Media,2026-03-12,Cerrada
52,I00052,277,Reacción posvacuna,Alta,2026-02-22,En revisión
53,I00053,278,Resultado pendiente,Media,2026-05-02,En revisión
54,I00054,280,Medicamento agotado,Alta,2026-02-09,Cerrada
55,I00055,284,Observación de hospitalización,Media,2026-05-13,Abierta
56,I00056,287,Cita reprogramada,Baja,2026-05-07,Abierta
57,I00057,295,Reacción posvacuna,Baja,2026-03-19,Cerrada
58,I00058,304,Resultado pendiente,Alta,2026-05-07,Cerrada
59,I00059,310,Medicamento agotado,Media,2026-06-28,En revisión
60,I00060,332,Observación de hospitalización,Media,2026-06-01,Cerrada
61,I00061,334,Cita reprogramada,Alta,2026-06-01,En revisión
62,I00062,339,Reacción posvacuna,Alta,2026-03-28,Cerrada
63,I00063,341,Resultado pendiente,Media,2026-02-23,En revisión
64,I00064,360,Medicamento agotado,Alta,2026-05-12,Abierta
65,I00065,364,Observación de hospitalización,Baja,2026-03-03,Abierta
66,I00066,368,Cita reprogramada,Alta,2026-06-16,En revisión
67,I00067,370,Reacción posvacuna,Alta,2026-06-16,Abierta
68,I00068,389,Resultado pendiente,Baja,2026-02-12,En revisión
69,I00069,403,Medicamento agotado,Alta,2026-06-04,Cerrada
70,I00070,415,Observación de hospitalización,Alta,2026-03-12,Cerrada
71,I00071,416,Cita reprogramada,Baja,2026-05-20,En revisión
72,I00072,417,Reacción posvacuna,Alta,2026-03-28,Cerrada
73,I00073,418,Resultado pendiente,Media,2026-03-17,Cerrada
74,I00074,420,Medicamento agotado,Alta,2026-04-04,Abierta
75,I00075,421,Observación de hospitalización,Baja,2026-06-15,Abierta
76,I00076,424,Cita reprogramada,Media,2026-02-03,Cerrada
77,I00077,425,Reacción posvacuna,Baja,2026-02-17,Abierta
78,I00078,426,Resultado pendiente,Baja,2026-04-16,Abierta
79,I00079,429,Medicamento agotado,Media,2026-03-27,Cerrada
80,I00080,437,Observación de hospitalización,Media,2026-05-16,Cerrada
81,I00081,440,Cita reprogramada,Baja,2026-05-14,Abierta
82,I00082,460,Reacción posvacuna,Baja,2026-04-13,Cerrada
83,I00083,470,Resultado pendiente,Alta,2026-05-15,En revisión
84,I00084,471,Medicamento agotado,Baja,2026-05-20,En revisión
85,I00085,474,Observación de hospitalización,Alta,2026-06-02,En revisión
86,I00086,475,Cita reprogramada,Media,2026-05-05,Cerrada
87,I00087,477,Reacción posvacuna,Baja,2026-03-23,Abierta
88,I00088,482,Resultado pendiente,Media,2026-04-25,En revisión
89,I00089,490,Medicamento agotado,Baja,2026-03-02,En revisión
90,I00090,491,Observación de hospitalización,Media,2026-06-08,En revisión
91,I00091,501,Cita reprogramada,Media,2026-06-14,Abierta
92,I00092,512,Reacción posvacuna,Media,2026-06-07,Abierta
93,I00093,522,Resultado pendiente,Baja,2026-03-03,Abierta
94,I00094,528,Medicamento agotado,Media,2026-03-09,Cerrada
95,I00095,529,Observación de hospitalización,Baja,2026-05-02,Cerrada
96,I00096,537,Cita reprogramada,Baja,2026-05-23,En revisión
97,I00097,542,Reacción posvacuna,Alta,2026-02-23,En revisión
98,I00098,547,Resultado pendiente,Alta,2026-02-15,En revisión
99,I00099,556,Medicamento agotado,Media,2026-06-19,En revisión
100,I00100,557,Observación de hospitalización,Media,2026-06-12,Abierta
101,I00101,566,Cita reprogramada,Alta,2026-02-26,En revisión
102,I00102,567,Reacción posvacuna,Baja,2026-05-12,En revisión
