id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,EH0001,Plan Energía Hogar Básico,Residencial,45.00,1
2,EH0002,Plan Energía Hogar Plus,Residencial,72.00,1
3,EH0003,Plan Solar Departamentos,Residencial,99.00,1
4,EH0004,Monitoreo de Consumo Familiar,Residencial,126.00,1
5,EH0005,Tarifa Verde Residencial,Residencial,153.00,1
6,EH0006,Plan Respaldo Hogar,Residencial,180.00,1
7,EH0007,Plan Negocio Esencial,Comercial,120.00,0
8,EH0008,Plan Comercio Continuo,Comercial,192.00,1
9,EH0009,Monitoreo para Restaurantes,Comercial,264.00,1
10,EH0010,Eficiencia para Oficinas,Comercial,336.00,1
11,EH0011,Plan Solar Pyme,Comercial,408.00,1
12,EH0012,Respaldo Eléctrico Comercial,Comercial,480.00,1
13,EH0013,Auditoría Energética Industrial,Industrial,380.00,1
14,EH0014,Monitoreo Trifásico,Industrial,554.00,1
15,EH0015,Mantenimiento de Subestación,Industrial,728.00,1
16,EH0016,Gestión de Demanda Máxima,Industrial,902.00,1
17,EH0017,Plan Solar Industrial,Industrial,1076.00,1
18,EH0018,Calidad de Energía Industrial,Industrial,1250.00,1
19,EH0019,Instalación de panel solar 1 kWp,Instalación,90.00,1
20,EH0020,Instalación de medidor inteligente,Instalación,145.09,1
21,EH0021,Instalación de cargador vehicular,Instalación,233.90,1
22,EH0022,Instalación de banco de baterías,Instalación,377.08,1
23,EH0023,Adecuación de tablero eléctrico,Instalación,607.90,1
24,EH0024,Instalación de terma solar,Instalación,980.00,1
25,EH0025,Mantenimiento preventivo solar,Mantenimiento,65.00,1
26,EH0026,Limpieza de paneles fotovoltaicos,Mantenimiento,94.40,1
27,EH0027,Revisión de puesta a tierra,Mantenimiento,137.10,1
28,EH0028,Diagnóstico de consumo elevado,Mantenimiento,199.12,1
29,EH0029,Mantenimiento de inversor,Mantenimiento,289.19,0
30,EH0030,Inspección termográfica,Mantenimiento,420.00,1
